Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
Castle of Illusion,Backlog,2.6 hrs,0.3 hrs,,,,,ENDLESS™ Legend,Backlog,16 hrs,0 hrs
Castlevania: Lords of Shadow - Ultimate Edition,Backlog,19 hrs,0.2 hrs,,,,,ENSLAVED™: Odyssey to the West™ Premium Edition,Backlog,9 hrs,2.9 hrs
Castlevania: Lords of Shadow 2,Backlog,14.7 hrs,0 hrs,,,,,Everhood,Backlog,6.6 hrs,1.7 hrs
Cat Quest III,Backlog,5.5 hrs,0 hrs,,,,,Evil West,Backlog,10.8 hrs,0 hrs
Catherine Classic,Completed,13.2 hrs,13.5 hrs,,,,,F.E.A.R.,Backlog,8.2 hrs,0 hrs
Cavern of Dreams,Backlog,5.1 hrs,0 hrs,,,,,F.E.A.R. 2: Project Origin,Backlog,7.1 hrs,0 hrs
Chained Echoes,Backlog,34.8 hrs,0 hrs,,,,,F.E.A.R. 3,Backlog,5.8 hrs,0 hrs
Child of Light,Completed,11.2 hrs,10.3 hrs,,,,,Fabledom,Backlog,13.1 hrs,0 hrs
Chivalry 2,Multiplayer,13.7 hrs,2.4 hrs,,,,,Fading Afternoon,Backlog,5.6 hrs,0.4 hrs
CHRONO CROSS: THE RADICAL DREAMERS EDITION,Backlog,34.5 hrs,0 hrs,,,,,Fahrenheit: Indigo Prophecy Remastered,Backlog,8.1 hrs,0 hrs
CHRONO TRIGGER,Completed,23 hrs,21.3 hrs,,,,,Fallout,Backlog,16.3 hrs,0 hrs
Citizen Sleeper,Backlog,6.8 hrs,0 hrs,,,,,Fallout 3 - Game of the Year Edition,Backlog,26.5 hrs,19.9 hrs
Clair Obscur: Expedition 33,Completed,28.2 hrs,87.8 hrs,,,,,Fallout 4 VR,Backlog,27.6 hrs,2.3 hrs
CODE VEIN,Backlog,26.5 hrs,0 hrs,,,,,Fashion Police Squad,Backlog,4.6 hrs,0 hrs
Coloring Game 4,Arcade,6.5 hrs,0.6 hrs,,,,,Fear & Hunger,Backlog,10.1 hrs,0.2 hrs
